# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Nov 21 15:02:51 2020
#
# CONSTRAINT:  where (pl_facility like 'Transiting Exoplanet Survey Satellite (TESS)')
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN gaia_disterr1:  Gaia Distance Upper Unc. [pc]
# COLUMN gaia_disterr2:  Gaia Distance Lower Unc. [pc]
# COLUMN gaia_distlim:   Gaia Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_facility:    Discovery Facility
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
HD 191939,c,HD 191939 c,Transit,0,3,28.58059000,0.00045000,-0.00045000,0,0.176200,0.008900,-0.008900,0,,,,0,89.124,0.091,-0.097,0,,,,0,,0.288,0.010,-0.010,0,,,,0,0,0,0,0,20h08m05.76s,302.023987,+66d51m02.1s,66.850578,53.48,0.19,-0.20,0,53.69,0.07,-0.07,0,8.963,0.018,0,V (Johnson),8.775,,0,5427.00,50.00,-50.00,0,0.92,0.06,-0.06,0,0.94,0.02,-0.02,0,2020-07-23,Transiting Exoplanet Survey Satellite (TESS)
HD 191939,d,HD 191939 d,Transit,0,3,38.35610000,0.00120000,-0.00120000,0,0.215000,0.011000,-0.011000,0,,,,0,89.490,0.120,-0.120,0,,,,0,,0.282,0.010,-0.010,0,,,,0,0,0,0,0,20h08m05.76s,302.023987,+66d51m02.1s,66.850578,53.48,0.19,-0.20,0,53.69,0.07,-0.07,0,8.963,0.018,0,V (Johnson),8.775,,0,5427.00,50.00,-50.00,0,0.92,0.06,-0.06,0,0.94,0.02,-0.02,0,2020-07-23,Transiting Exoplanet Survey Satellite (TESS)
HD 202772 A,b,HD 202772 A b,Transit,0,1,3.30895800,0.00008300,-0.00008300,0,0.052080,0.000640,-0.000680,0,0.038000,0.042000,-0.027000,0,84.510,1.100,-0.820,0,1.01700,0.07000,-0.06800,0,Mass,1.545,0.052,-0.060,0,0.34300,0.04300,-0.03500,0,0,0,0,0,21h18m47.901s,319.699588,-26d36m58.95s,-26.616375,147.20,2.50,-2.40,0,162.19,2.43,-2.43,0,,,,,8.227,,0,6272.00,77.00,-71.00,0,1.72,0.06,-0.07,0,2.59,0.08,-0.09,0,2019-01-31,Transiting Exoplanet Survey Satellite (TESS)
HD 213885,b,HD 213885 b,Transit,0,2,1.00803500,0.00002100,-0.00002000,0,0.020120,0.000150,-0.000120,0,0.000000,,,0,80.090,0.620,-0.500,0,0.02778,0.00208,-0.00205,0,Mass,0.156,0.005,-0.005,0,9.15000,1.10000,-1.00000,0,0,0,0,0,22h35m56.32s,338.984650,-59d51m52.1s,-59.864468,47.97,0.14,-0.14,0,48.16,0.10,-0.10,0,7.996,0.002,0,V (Johnson),7.802,,0,5978.00,50.00,-50.00,0,1.07,0.02,-0.02,0,1.10,0.01,-0.01,0,2019-12-05,Transiting Exoplanet Survey Satellite (TESS)
GJ 143,c,HD 21749 c,Transit,0,2,7.78993000,0.00051000,-0.00044000,0,0.069500,0.002100,-0.002300,0,,,,,88.900,0.500,-0.370,0,0.01164,,,1,Mass,0.080,0.006,-0.005,0,31.93000,,,1,0,0,0,0,03h26m59.22s,51.746769,-63d29m56.8s,-63.499100,16.33,0.01,-0.01,0,16.33,0.01,-0.01,0,7.870,,0,V (Johnson),7.679,,0,4640.00,100.00,-100.00,0,0.73,0.07,-0.07,0,0.69,0.03,-0.03,0,2019-04-25,Transiting Exoplanet Survey Satellite (TESS)
HD 219666,b,HD 219666 b,Transit,0,1,6.03607000,0.00064000,-0.00063000,0,0.063560,0.002650,-0.002650,0,0.000000,,,0,86.380,0.150,-0.150,0,0.05223,0.00409,-0.00409,0,Mass,0.420,0.015,-0.015,0,0.87000,0.12000,-0.11000,0,0,0,0,0,23h18m13.630s,349.556792,-56d54m13.630s,-56.903786,94.43,0.25,-0.25,0,94.43,0.25,-0.25,0,,,,,9.650,,0,5527.00,65.00,-65.00,0,0.92,0.03,-0.03,0,1.03,0.03,-0.03,0,2019-03-05,Transiting Exoplanet Survey Satellite (TESS)
HD 221416,b,HD 221416 b,Transit,0,1,14.27670000,0.00370000,-0.00370000,0,0.122800,0.002500,-0.002600,0,0.115000,0.034000,-0.030000,0,85.750,0.360,-0.350,0,0.19000,0.01800,-0.01800,0,Mass,0.836,0.031,-0.028,0,0.43100,0.06400,-0.06000,0,0,0,0,0,23h32m08.07s,353.033630,-21d48m05.1s,-21.801424,95.08,0.72,-0.72,0,95.80,0.73,-0.73,0,8.146,0.014,0,V (Johnson),7.908,,0,5080.00,90.00,-90.00,0,1.21,0.07,-0.07,0,2.94,0.06,-0.06,0,2019-04-18,Transiting Exoplanet Survey Satellite (TESS)
HD 23472,b,HD 23472 b,Transit,0,2,17.66700000,0.14200000,-0.09500000,0,0.121000,0.001000,-0.001000,0,0.000000,,,0,,,,0,0.05638,0.00444,-0.04405,0,Mass,0.167,0.118,-0.118,0,,,,0,0,0,0,0,03h41m50.40s,55.459988,-62d46m01.5s,-62.767075,39.08,0.04,-0.04,0,39.08,0.04,-0.04,0,9.724,0.030,0,V (Johnson),9.385,,0,,,,,0.75,0.04,-0.03,0,0.73,0.01,-0.01,0,2020-11-05,Transiting Exoplanet Survey Satellite (TESS)
HD 23472,c,HD 23472 c,Transit,0,2,29.62500000,0.22400000,-0.17100000,0,0.170000,0.001000,-0.001000,0,0.000000,,,0,,,,0,0.05405,0.00337,-0.04333,0,Mass,0.192,0.031,-0.031,0,,,,0,0,0,0,0,03h41m50.40s,55.459988,-62d46m01.5s,-62.767075,39.08,0.04,-0.04,0,39.08,0.04,-0.04,0,9.724,0.030,0,V (Johnson),9.385,,0,,,,,0.75,0.04,-0.03,0,0.73,0.01,-0.01,0,2020-11-05,Transiting Exoplanet Survey Satellite (TESS)
HD 2685,b,HD 2685 b,Transit,0,1,4.12688000,0.00005000,-0.00004000,0,0.056800,0.000600,-0.000600,0,0.091000,0.039000,-0.047000,0,89.252,0.415,-0.444,0,1.17000,0.12000,-0.12000,0,Mass,1.440,0.050,-0.050,0,,,,,0,0,0,0,00h29m18.95s,7.328958,-76d18m14.62s,-76.304061,197.98,0.85,-0.70,0,197.98,0.78,-0.78,0,,,,,9.520,,0,6801.00,76.00,-76.00,0,1.43,0.05,-0.04,0,1.56,0.05,-0.05,0,2019-10-24,Transiting Exoplanet Survey Satellite (TESS)
HD 332231,b,HD 332231 b,Transit,0,1,18.71204000,0.00043000,-0.00043000,0,0.143600,0.003200,-0.003300,0,0.032000,0.030000,-0.022000,0,89.680,0.220,-0.280,0,0.24400,0.02100,-0.02100,0,Mass,0.867,0.027,-0.025,0,0.46400,0.05400,-0.05200,0,0,0,0,0,20h26m57.92s,306.741333,+33d44m40.02s,33.744450,80.85,0.19,-0.19,0,80.85,0.19,-0.19,0,8.560,,0,V (Johnson),8.418,,0,6089.00,97.00,-96.00,0,1.13,0.08,-0.08,0,1.28,0.04,-0.04,0,2020-05-21,Transiting Exoplanet Survey Satellite (TESS)
HD 63433,b,HD 63433 b,Transit,0,2,7.10793000,0.00040000,-0.00034000,0,0.071900,0.003100,-0.004400,0,0.000000,,,0,89.380,0.430,-0.640,0,,,,0,,0.192,0.009,-0.009,0,,,,0,0,0,0,0,07h49m55.06s,117.479424,+27d21m47.5s,27.363182,22.42,0.02,-0.02,0,22.42,0.02,-0.02,0,6.900,0.000,0,V (Johnson),6.718,,0,5640.00,74.00,-74.00,0,0.99,0.03,-0.03,0,0.91,0.03,-0.03,0,2020-09-24,Transiting Exoplanet Survey Satellite (TESS)
HD 63433,c,HD 63433 c,Transit,0,2,20.54530000,0.00120000,-0.00130000,0,0.145800,0.006200,-0.010100,0,0.000000,,,0,89.147,0.069,-0.200,0,,,,0,,0.238,0.011,-0.011,0,,,,0,0,0,0,0,07h49m55.06s,117.479424,+27d21m47.5s,27.363182,22.42,0.02,-0.02,0,22.42,0.02,-0.02,0,6.900,0.000,0,V (Johnson),6.718,,0,5640.00,74.00,-74.00,0,0.99,0.03,-0.03,0,0.91,0.03,-0.03,0,2020-09-24,Transiting Exoplanet Survey Satellite (TESS)
HD 86226,c,HD 86226 c,Transit,0,2,3.98442000,0.00018000,-0.00018000,0,0.049000,0.001000,-0.001000,0,0.075000,0.065000,-0.048000,0,86.450,0.260,-0.160,0,0.02281,0.00374,-0.00352,0,Mass,0.193,0.007,-0.007,0,3.97000,0.78000,-0.73000,0,0,0,0,0,09h56m29.85s,149.124359,-24d05m57.8s,-24.099390,45.57,0.12,-0.12,0,45.74,0.10,-0.10,0,7.932,0.013,0,V (Johnson),7.771,,0,5863.00,88.00,-88.00,0,1.02,0.06,-0.07,0,1.05,0.03,-0.03,0,2020-08-13,Transiting Exoplanet Survey Satellite (TESS)
HIP 65 A,b,HIP 65 A b,Transit,0,1,0.98097340,0.00000310,-0.00000310,0,0.017820,0.000200,-0.000210,0,0.000000,,,0,77.180,0.920,-1.000,0,3.21300,0.07800,-0.07800,0,Mass,2.030,0.610,-0.490,0,0.48000,0.61000,-0.26000,0,0,0,0,0,00h00m44.56s,0.185667,-54d49m50.93s,-54.830814,61.89,0.08,-0.08,0,61.90,0.08,-0.08,0,11.130,0.065,0,V (Johnson),10.590,,0,4590.00,49.00,-49.00,0,0.78,0.03,-0.03,0,0.72,0.01,-0.01,0,2020-07-23,Transiting Exoplanet Survey Satellite (TESS)
HIP 67522,b,HIP 67522 b,Transit,0,1,6.95950300,0.00001600,-0.00001500,0,,,,0,0.059000,0.193000,-0.046000,0,89.340,0.450,-0.540,0,,,,0,,0.898,0.042,-0.042,0,,,,0,0,0,0,0,13h50m06.28s,207.526169,-40d50m08.9s,-40.835800,127.27,1.10,-1.08,0,127.73,1.10,-1.10,0,9.802,0.029,0,V (Johnson),9.633,,0,5675.00,75.00,-75.00,0,1.22,0.05,-0.05,0,1.38,0.06,-0.06,0,2020-07-23,Transiting Exoplanet Survey Satellite (TESS)
HR 858,b,HR 858 b,Transit,0,3,3.58599000,0.00015000,-0.00015000,0,0.048000,0.001000,-0.001100,0,0.300000,,,1,85.500,1.500,-0.500,0,,,,,,0.186,0.006,-0.006,0,,,,,0,0,0,0,02h51m56.25s,42.984360,-30d48m52.3s,-30.814520,31.99,0.07,-0.07,0,31.99,0.07,-0.07,0,6.400,,0,V (Johnson),6.248,,0,6201.00,50.00,-50.00,0,1.15,0.07,-0.08,0,1.31,0.02,-0.02,0,2019-07-25,Transiting Exoplanet Survey Satellite (TESS)
HR 858,c,HR 858 c,Transit,0,3,5.97293000,0.00060000,-0.00053000,0,0.067400,0.001400,-0.001600,0,0.190000,,,1,86.230,0.260,-0.260,0,,,,,,0.173,0.006,-0.006,0,,,,,0,0,0,0,02h51m56.25s,42.984360,-30d48m52.3s,-30.814520,31.99,0.07,-0.07,0,31.99,0.07,-0.07,0,6.400,,0,V (Johnson),6.248,,0,6201.00,50.00,-50.00,0,1.15,0.07,-0.08,0,1.31,0.02,-0.02,0,2019-07-25,Transiting Exoplanet Survey Satellite (TESS)
